trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
328,False,"{'a': 0.17244076954535698, 'e': 0.4377825417221742}",20,6,23.22989609184768,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.17235084417508337, 'e': 0.43668808536786874}",20,11,13.400136859255591,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.1722612833903924, 'e': 0.4355963651544491}",25,20,11.18011342525673,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.1721720845735255, 'e': 0.434507374241563}",30,12,35.43491322454995,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.1720832451335447, 'e': 0.4334211058059591}",20,6,27.791228007253743,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.17199476250597664, 'e': 0.4323375530414443}",25,17,17.341760773451526,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.17190663415246227, 'e': 0.4312567091588407}",25,3,37.370542840255524,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.1718188575604124, 'e': 0.43017856738594357}",30,15,26.730472254157927,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.17173143024266865, 'e': 0.42910312096747877}",25,13,26.681040300351373,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.17164434973717002, 'e': 0.4280303631650601}",20,11,15.813558882452448,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.17155761360662464, 'e': 0.42696028725714746}",25,15,18.731446792278938,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.17147121943818708, 'e': 0.4258928865390046}",25,17,13.340060838641602,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.1713851648431404, 'e': 0.42482815432265714}",20,14,12.731935514714511,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.17129944745658357, 'e': 0.4237660839368505}",20,4,31.475253519767595,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.1712140649371239, 'e': 0.4227066687270084}",20,7,20.759579438290423,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.17112901496657407, 'e': 0.4216499020551909}",30,17,22.916362790820454,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.17104429524965417, 'e': 0.42059577730005293}",20,8,21.97386368698011,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.17095990351369836, 'e': 0.4195442878568028}",30,16,24.618273081291576,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.17087583750836605, 'e': 0.41849542713716087}",30,18,20.339071688438274,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.17079209500535783, 'e': 0.41744918856931795}",25,17,16.808645463638523,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.17070867379813556, 'e': 0.4164055655978947}",20,16,8.653112866539642,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.170625571701647, 'e': 0.41536455168389996}",20,9,21.064530997546413,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.17054278655205474, 'e': 0.4143261403046902}",25,16,18.355841693434964,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.1704603162064691, 'e': 0.41329032495392853}",20,10,17.285761000412446,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.17037815854268537, 'e': 0.41225709914154374}",30,6,40.516201524166284,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.17029631145892507, 'e': 0.41122645639368993}",25,11,30.36158120283958,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.17021477287358108, 'e': 0.4101983902527057}",35,21,26.23928928137816,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.17013354072496667, 'e': 0.409172894277074}",30,10,38.61526891256956,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.17005261297106852, 'e': 0.4081499620413813}",25,7,34.304001800081714,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.16997198758930332, 'e': 0.4071295871362779}",25,12,26.686715076429316,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.16989166257627808, 'e': 0.4061117631684372}",20,13,11.516956953938038,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.1698116359475543, 'e': 0.4050964837605161}",30,12,35.914811852349125,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.16973190573741526, 'e': 0.40408374255111484}",20,10,16.77118814610054,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.16965246999863726, 'e': 0.4030735331947371}",25,18,12.111179485960868,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.16957332680226397, 'e': 0.40206584936175027}",25,15,19.987145866653663,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.1694944742373844, 'e': 0.40106068473834594}",30,23,16.715906629420566,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.16941591041091392, 'e': 0.40005803302650006}",20,7,22.177429977588623,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.16933763344737873, 'e': 0.3990578879439338}",25,0,42.381212026987384,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
366,False,"{'a': 0.16925964148870362, 'e': 0.398060243224074}",25,11,26.961249232623285,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.16918193269400245, 'e': 0.39706509261601386}",30,23,14.994618224897604,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.1691045052393722, 'e': 0.39607242988447383}",20,6,28.34887591397137,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.16902735731768975, 'e': 0.39508224880976267}",30,13,32.997880706411756,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.16895048713841182, 'e': 0.3940945431877383}",25,0,38.586111168020985,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
371,False,"{'a': 0.16887389292737767, 'e': 0.39310930682976897}",20,10,21.991895889018,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.1687975729266148, 'e': 0.39212653356269456}",20,16,8.600254949879421,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.16872152539414745, 'e': 0.39114621722878784}",25,14,20.908527724397047,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.16864574860380777, 'e': 0.3901683516857159}",30,16,25.275358323817173,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.16857024084505, 'e': 0.38919293080650164}",30,18,24.103132224414743,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.16849500042276702, 'e': 0.38821994847948543}",20,10,18.920519719821716,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.1684200256571097, 'e': 0.3872493986082867}",30,16,25.816682218131284,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.1683453148833088, 'e': 0.386281275111766}",20,12,15.1874471817854,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.16827086645149952, 'e': 0.38531557192398663}",35,21,29.878000603893483,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
